"iteration","percent_cells","match","features_used","ndims_used"
1,90,89.9665551839465,997,5
2,79,94.2965779467681,997,5
3,79,96.2264150943396,997,5
4,75,97.609561752988,997,5
5,73,90.9465020576132,997,5
6,71,95.3781512605042,997,5
7,84,97.5,997,5
8,83,89.9280575539568,997,5
9,87,96.2199312714777,997,5
10,81,85.5555555555556,997,5
11,86,91.6376306620209,997,5
12,74,92.3076923076923,997,5
13,78,87.6447876447876,997,5
14,72,96.234309623431,997,5
15,86,89.5833333333333,997,5
16,86,88.1118881118881,997,5
17,71,88.135593220339,997,5
18,86,97.5694444444444,997,5
19,84,90.7473309608541,997,5
20,70,94.0425531914894,997,5
21,77,93.4108527131783,997,5
22,75,94.0239043824701,997,5
23,75,95.6,997,5
24,74,96.7741935483871,997,5
25,81,96.2825278810409,997,5
26,76,89.7637795275591,997,5
27,79,90.1140684410646,997,5
28,89,85.9060402684564,997,5
29,72,94.9790794979079,997,5
30,87,94.8453608247423,997,5
31,86,89.5470383275261,997,5
32,79,92.4242424242424,997,5
33,78,93.0769230769231,997,5
34,70,92.7350427350427,997,5
35,77,90.1960784313726,997,5
36,71,96.2025316455696,997,5
37,89,89.5622895622896,997,5
38,74,94.3089430894309,997,5
39,73,91.3223140495868,997,5
40,86,95.8041958041958,997,5
41,74,95.5465587044534,997,5
42,70,89.7435897435898,997,5
43,84,92.8571428571429,997,5
44,80,84.1509433962264,997,5
45,88,94.5578231292517,997,5
46,85,94.0140845070423,997,5
47,84,88.2562277580071,997,5
48,73,94.238683127572,997,5
49,73,94.6502057613169,997,5
50,78,93.8223938223938,997,5
51,85,95.7894736842105,997,5
52,88,94.8979591836735,997,5
53,75,95.9839357429719,997,5
54,90,87.9598662207358,997,5
55,81,88.4758364312268,997,5
56,87,94.4827586206897,997,5
57,79,93.5114503816794,997,5
58,78,95,997,5
59,74,89.0243902439024,997,5
60,87,88.2352941176471,997,5
61,89,93.9189189189189,997,5
62,76,93.2806324110672,997,5
63,80,87.3134328358209,997,5
64,73,89.2561983471074,997,5
65,84,94.9640287769784,997,5
66,76,95.2380952380952,997,5
67,80,92.1052631578947,997,5
68,76,94.1176470588235,997,5
69,72,94.6058091286307,997,5
70,82,91.9413919413919,997,5
71,83,88.8086642599278,997,5
72,73,95.8677685950413,997,5
73,87,93.7931034482759,997,5
74,89,89.1891891891892,997,5
75,83,88.768115942029,997,5
76,90,90,997,5
77,76,90.1574803149606,997,5
78,86,94.7552447552448,997,5
79,79,92.7756653992395,997,5
80,72,93.7238493723849,997,5
81,77,94.5736434108527,997,5
82,74,91.497975708502,997,5
83,77,95.7364341085271,997,5
84,79,88.1679389312977,997,5
85,81,89.2193308550186,997,5
86,77,92.1875,997,5
87,80,93.984962406015,997,5
88,83,95.3068592057762,997,5
89,78,88.5057471264368,997,5
90,86,97.2222222222222,997,5
91,81,90.7749077490775,997,5
92,76,88.8888888888889,997,5
93,71,90.295358649789,997,5
94,82,89.051094890511,997,5
95,87,91.0034602076124,997,5
96,76,95.6862745098039,997,5
97,76,88.8888888888889,997,5
98,90,89.3333333333333,997,5
99,77,96.4705882352941,997,5
100,83,93.5018050541516,997,5
