"iteration","percent_cells","match","features_used","ndims_used"
1,90,88.3928571428571,2900,5
2,79,91.2778904665314,2900,5
3,79,81.8548387096774,2900,5
4,75,81.104033970276,2900,5
5,73,83.9912280701754,2900,5
6,71,85.8744394618834,2900,5
7,84,85.3053435114504,2900,5
8,83,NA,2900,5
9,87,93.1985294117647,2900,5
10,81,86.1660079051383,2900,5
11,86,80.6691449814126,2900,5
12,74,74.2980561555076,2900,5
13,78,67.2839506172839,2900,5
14,72,61.0738255033557,2900,5
15,86,NA,2900,5
16,86,94.2056074766355,2900,5
17,71,63.9455782312925,2900,5
18,86,78.6641929499072,2900,5
19,84,92.3954372623574,2900,5
20,70,88.4090909090909,2900,5
21,77,75.7763975155279,2900,5
22,75,81.4893617021277,2900,5
23,75,92.3076923076923,2900,5
24,74,59.9137931034483,2900,5
25,81,66.1386138613861,2900,5
26,76,88.4210526315789,2900,5
27,79,92.4949290060852,2900,5
28,89,72.0930232558139,2900,5
29,72,80.9843400447427,2900,5
30,87,87.5457875457875,2900,5
31,86,88.1040892193308,2900,5
32,79,70.3030303030303,2900,5
33,78,90.5349794238683,2900,5
34,70,74.370709382151,2900,5
35,77,84.7280334728033,2900,5
36,71,84.9438202247191,2900,5
37,89,80.0359712230216,2900,5
38,74,91.9739696312364,2900,5
39,73,87.6379690949227,2900,5
40,86,NA,2900,5
41,74,NA,2900,5
42,70,71.9178082191781,2900,5
43,84,75.4285714285714,2900,5
44,80,87.9275653923541,2900,5
45,88,91.8330308529946,2900,5
46,85,66.1016949152542,2900,5
47,84,92.3954372623574,2900,5
48,73,89.8901098901099,2900,5
49,73,NA,2900,5
50,78,91.9587628865979,2900,5
51,85,88.0149812734082,2900,5
52,88,84.5454545454545,2900,5
53,75,92.7194860813704,2900,5
54,90,87.3214285714286,2900,5
55,81,79.7619047619048,2900,5
56,87,76.0589318600368,2900,5
57,79,89.2276422764228,2900,5
58,78,86.0369609856263,2900,5
59,74,87.012987012987,2900,5
60,87,NA,2900,5
61,89,92.9475587703436,2900,5
62,76,61.5221987315011,2900,5
63,80,59.3625498007968,2900,5
64,73,68.942731277533,2900,5
65,84,87.1401151631478,2900,5
66,76,86.6525423728814,2900,5
67,80,91.566265060241,2900,5
68,76,93.9203354297694,2900,5
69,72,68.141592920354,2900,5
70,82,93.359375,2900,5
71,83,NA,2900,5
72,73,81.4569536423841,2900,5
73,87,NA,2900,5
74,89,70.6306306306306,2900,5
75,83,76.0154738878143,2900,5
76,90,90.5525846702317,2900,5
77,76,95.3684210526316,2900,5
78,86,71.8283582089552,2900,5
79,79,91.6666666666667,2900,5
80,72,NA,2900,5
81,77,62.3188405797101,2900,5
82,74,77.5377969762419,2900,5
83,77,91.9421487603306,2900,5
84,79,93.9024390243902,2900,5
85,81,NA,2900,5
86,77,81.875,2900,5
87,80,90.5622489959839,2900,5
88,83,88.6319845857418,2900,5
89,78,82.0040899795501,2900,5
90,86,82.7458256029685,2900,5
91,81,75.9842519685039,2900,5
92,76,76.9556025369979,2900,5
93,71,69.8198198198198,2900,5
94,82,76.7578125,2900,5
95,87,NA,2900,5
96,76,77.1488469601677,2900,5
97,76,88.9830508474576,2900,5
98,90,93.4163701067616,2900,5
99,77,93.5146443514644,2900,5
100,83,92.8709055876686,2900,5
