"group","nfeatures","ndims","resolution","silhouette","modularity"
"M",500,4,0.02,NA,NA
"M",500,4,0.04,NA,NA
"M",500,4,0.06,NA,NA
"M",500,4,0.08,NA,NA
"M",500,4,0.1,NA,NA
"M",500,4,0.12,NA,NA
"M",500,4,0.14,NA,NA
"M",500,4,0.16,NA,NA
"M",500,4,0.18,NA,NA
"M",500,4,0.2,NA,NA
"M",500,4,0.22,NA,NA
"M",500,4,0.24,NA,NA
"M",500,4,0.26,NA,NA
"M",500,4,0.28,NA,NA
"M",500,4,0.3,0.153543011695287,0.312777593795061
"M",500,4,0.32,0.153543011695287,0.312777593795061
"M",500,4,0.34,0.153543011695287,0.312777593795061
"M",500,4,0.36,0.153543011695287,0.312777593795061
"M",500,4,0.38,0.171246689742798,0.375349067161862
"M",500,4,0.4,0.170498658470488,0.376296149516913
"M",500,4,0.42,0.170498658470488,0.376296149516913
"M",500,4,0.44,0.170498658470488,0.376296149516913
"M",500,4,0.46,0.121874714271903,0.413390185130094
"M",500,4,0.48,0.121874714271903,0.413390185130094
"M",500,4,0.5,0.112315533529356,0.40981940957494
"M",500,4,0.52,0.162528391222631,0.418163376778639
"M",500,4,0.54,0.162528391222631,0.418163376778639
"M",500,4,0.56,0.162528391222631,0.418163376778639
"M",500,4,0.58,0.162528391222631,0.418163376778639
"M",500,4,0.6,0.138434657945256,0.421932098974866
"M",500,4,0.62,0.138434657945256,0.421932098974866
"M",500,4,0.64,0.138434657945256,0.421932098974866
"M",500,4,0.66,0.138434657945256,0.421932098974866
"M",500,4,0.68,0.154825948619593,0.424281348586674
"M",500,4,0.7,0.152039002202598,0.423717470310326
"M",500,4,0.72,0.141759199687851,0.423341591194543
"M",500,4,0.74,0.144244302078904,0.42346111716076
"M",500,4,0.76,0.151686816780241,0.42453837175249
"M",500,4,0.78,0.142657709119705,0.421700010278789
"M",500,4,0.8,0.145057161408496,0.423661283487566
"M",500,4,0.82,0.145057161408496,0.423661283487566
"M",500,4,0.84,0.158310222739584,0.42356168947713
"M",500,4,0.86,0.158310222739584,0.42356168947713
"M",500,4,0.88,0.158310222739584,0.42356168947713
"M",500,4,0.9,0.158310222739584,0.42356168947713
"M",500,4,0.92,0.158310222739584,0.42356168947713
"M",500,4,0.94,0.158310222739584,0.42356168947713
"M",500,4,0.96,0.158310222739584,0.42356168947713
"M",500,4,0.98,0.157061381065876,0.422448171797362
"M",500,4,1,0.158310222739584,0.42356168947713
"M",500,5,0.02,NA,NA
"M",500,5,0.04,NA,NA
"M",500,5,0.06,NA,NA
"M",500,5,0.08,NA,NA
"M",500,5,0.1,NA,NA
"M",500,5,0.12,NA,NA
"M",500,5,0.14,NA,NA
"M",500,5,0.16,NA,NA
"M",500,5,0.18,NA,NA
"M",500,5,0.2,NA,NA
"M",500,5,0.22,NA,NA
"M",500,5,0.24,NA,NA
"M",500,5,0.26,NA,NA
"M",500,5,0.28,NA,NA
"M",500,5,0.3,NA,NA
"M",500,5,0.32,0.137663454489404,0.301207123062086
"M",500,5,0.34,0.137663454489404,0.301207123062086
"M",500,5,0.36,0.137663454489404,0.301207123062086
"M",500,5,0.38,0.137663454489404,0.301207123062086
"M",500,5,0.4,0.137663454489404,0.301207123062086
"M",500,5,0.42,0.137663454489404,0.301207123062086
"M",500,5,0.44,0.137663454489404,0.301207123062086
"M",500,5,0.46,0.137663454489404,0.301207123062086
"M",500,5,0.48,0.143603802093197,0.33180409946759
"M",500,5,0.5,0.138772085633687,0.362971185151435
"M",500,5,0.52,0.14006663395381,0.376252101228736
"M",500,5,0.54,0.141046354745932,0.37559604916335
"M",500,5,0.56,0.141046354745932,0.37559604916335
"M",500,5,0.58,0.14006663395381,0.376252101228736
"M",500,5,0.6,0.139719286347008,0.377325953637597
"M",500,5,0.62,0.139719286347008,0.377325953637597
"M",500,5,0.64,0.160937223618599,0.388103463396435
"M",500,5,0.66,0.160882303119085,0.388305035737121
"M",500,5,0.68,0.160882303119085,0.388305035737121
"M",500,5,0.7,0.160772613873729,0.387839460348754
"M",500,5,0.72,0.160772613873729,0.387839460348754
"M",500,5,0.74,0.160621623129017,0.387752049313769
"M",500,5,0.76,0.160772613873729,0.387839460348754
"M",500,5,0.78,0.160772613873729,0.387839460348754
"M",500,5,0.8,0.152748672141521,0.392288218089982
"M",500,5,0.82,0.152748672141521,0.392288218089982
"M",500,5,0.84,0.154066710529759,0.392386982905283
"M",500,5,0.86,0.154066710529759,0.392386982905283
"M",500,5,0.88,0.152585540143178,0.393809554256753
"M",500,5,0.9,0.152748672141521,0.392288218089982
"M",500,5,0.92,0.152585540143178,0.393809554256753
"M",500,5,0.94,0.152748672141521,0.392288218089982
"M",500,5,0.96,0.152748672141521,0.392288218089982
"M",500,5,0.98,0.152585540143178,0.393809554256753
"M",500,5,1,0.152430505919098,0.384142656739943
"M",500,6,0.02,NA,NA
"M",500,6,0.04,NA,NA
"M",500,6,0.06,NA,NA
"M",500,6,0.08,NA,NA
"M",500,6,0.1,NA,NA
"M",500,6,0.12,NA,NA
"M",500,6,0.14,NA,NA
"M",500,6,0.16,NA,NA
"M",500,6,0.18,NA,NA
"M",500,6,0.2,NA,NA
"M",500,6,0.22,NA,NA
"M",500,6,0.24,NA,NA
"M",500,6,0.26,NA,NA
"M",500,6,0.28,NA,NA
"M",500,6,0.3,NA,NA
"M",500,6,0.32,NA,NA
"M",500,6,0.34,NA,NA
"M",500,6,0.36,0.118917494785229,0.289899161095821
"M",500,6,0.38,0.118917494785229,0.289899161095821
"M",500,6,0.4,0.117344505450514,0.288616871628279
"M",500,6,0.42,0.118917494785229,0.289899161095821
"M",500,6,0.44,0.118917494785229,0.289899161095821
"M",500,6,0.46,0.126405008482319,0.347012242686381
"M",500,6,0.48,0.126405008482319,0.347012242686381
"M",500,6,0.5,0.126405008482319,0.347012242686381
"M",500,6,0.52,0.126405008482319,0.347012242686381
"M",500,6,0.54,0.126405008482319,0.347012242686381
"M",500,6,0.56,0.126405578176944,0.347869360035124
"M",500,6,0.58,0.125833705304005,0.348100828567407
"M",500,6,0.6,0.125833705304005,0.348100828567407
"M",500,6,0.62,0.125833705304005,0.348100828567407
"M",500,6,0.64,0.125833705304005,0.348100828567407
"M",500,6,0.66,0.122132084363279,0.352577725670099
"M",500,6,0.68,0.126361000193749,0.350631024492167
"M",500,6,0.7,0.126361000193749,0.350631024492167
"M",500,6,0.72,0.120682644423646,0.362894871070672
"M",500,6,0.74,0.112065807527798,0.368377949408845
"M",500,6,0.76,0.127405998888504,0.373466212964935
"M",500,6,0.78,0.127405998888504,0.373466212964935
"M",500,6,0.8,0.127405998888504,0.373466212964935
"M",500,6,0.82,0.127184190032034,0.37253740967314
"M",500,6,0.84,0.127405998888504,0.373466212964935
"M",500,6,0.86,0.127405998888504,0.373466212964935
"M",500,6,0.88,0.127405998888504,0.373466212964935
"M",500,6,0.9,0.127405998888504,0.373466212964935
"M",500,6,0.92,0.127405998888504,0.373466212964935
"M",500,6,0.94,0.127824268079648,0.373638469906205
"M",500,6,0.96,0.127824268079648,0.373638469906205
"M",500,6,0.98,0.127628439046873,0.374120392626565
"M",500,6,1,0.127911917123328,0.373753658996961
"M",500,7,0.02,NA,NA
"M",500,7,0.04,NA,NA
"M",500,7,0.06,NA,NA
"M",500,7,0.08,NA,NA
"M",500,7,0.1,NA,NA
"M",500,7,0.12,NA,NA
"M",500,7,0.14,NA,NA
"M",500,7,0.16,NA,NA
"M",500,7,0.18,NA,NA
"M",500,7,0.2,NA,NA
"M",500,7,0.22,NA,NA
"M",500,7,0.24,NA,NA
"M",500,7,0.26,NA,NA
"M",500,7,0.28,NA,NA
"M",500,7,0.3,NA,NA
"M",500,7,0.32,NA,NA
"M",500,7,0.34,NA,NA
"M",500,7,0.36,NA,NA
"M",500,7,0.38,NA,NA
"M",500,7,0.4,0.103100994604005,0.247507091105305
"M",500,7,0.42,0.103100994604005,0.247507091105305
"M",500,7,0.44,0.103242044724275,0.24920918189905
"M",500,7,0.46,0.104687292258891,0.250734375353482
"M",500,7,0.48,0.104687292258891,0.250734375353482
"M",500,7,0.5,0.107402497990325,0.300319183287525
"M",500,7,0.52,0.106783985485822,0.301881617570319
"M",500,7,0.54,0.106783985485822,0.301881617570319
"M",500,7,0.56,0.0975235968731982,0.313623966971479
"M",500,7,0.58,0.0975235968731982,0.313623966971479
"M",500,7,0.6,0.0975235968731982,0.313623966971479
"M",500,7,0.62,0.0975235968731982,0.313623966971479
"M",500,7,0.64,0.0966327661898537,0.313924622722191
"M",500,7,0.66,0.106757793461093,0.313358122529717
"M",500,7,0.68,0.0966327661898537,0.313924622722191
"M",500,7,0.7,0.0967790375022429,0.31450943963892
"M",500,7,0.72,0.0962293220985913,0.315480070774842
"M",500,7,0.74,0.0967790375022429,0.31450943963892
"M",500,7,0.76,0.0967790375022429,0.31450943963892
"M",500,7,0.78,0.113190723055808,0.328117619092113
"M",500,7,0.8,0.10018482264336,0.328186427330751
"M",500,7,0.82,0.0974916510570423,0.326961963166296
"M",500,7,0.84,0.110140652571866,0.330284222012948
"M",500,7,0.86,0.100019344360477,0.329234250181483
"M",500,7,0.88,0.0958235823990782,0.326945258858511
"M",500,7,0.9,0.100545863346,0.329136859681979
"M",500,7,0.92,0.0953537540125836,0.32885098804714
"M",500,7,0.94,0.0953438233727634,0.327834138845215
"M",500,7,0.96,0.097066751371401,0.325212845374637
"M",500,7,0.98,0.0953873362672075,0.330517918901346
"M",500,7,1,0.0984880609225939,0.324875125834534
"M",500,8,0.02,NA,NA
"M",500,8,0.04,NA,NA
"M",500,8,0.06,NA,NA
"M",500,8,0.08,NA,NA
"M",500,8,0.1,NA,NA
"M",500,8,0.12,NA,NA
"M",500,8,0.14,NA,NA
"M",500,8,0.16,NA,NA
"M",500,8,0.18,NA,NA
"M",500,8,0.2,NA,NA
"M",500,8,0.22,NA,NA
"M",500,8,0.24,NA,NA
"M",500,8,0.26,NA,NA
"M",500,8,0.28,NA,NA
"M",500,8,0.3,NA,NA
"M",500,8,0.32,NA,NA
"M",500,8,0.34,NA,NA
"M",500,8,0.36,NA,NA
"M",500,8,0.38,0.0890859741401265,0.238617808270135
"M",500,8,0.4,0.092540072119637,0.244016508458054
"M",500,8,0.42,0.092540072119637,0.244016508458054
"M",500,8,0.44,0.0933337719075988,0.244980664220602
"M",500,8,0.46,0.0942013883583324,0.246103847320014
"M",500,8,0.48,0.0979134575915185,0.28116467603809
"M",500,8,0.5,0.0979134575915185,0.28116467603809
"M",500,8,0.52,0.0979134575915185,0.28116467603809
"M",500,8,0.54,0.0979134575915185,0.28116467603809
"M",500,8,0.56,0.0979134575915185,0.28116467603809
"M",500,8,0.58,0.0977275998626112,0.282679685643006
"M",500,8,0.6,0.106830578421767,0.298670713857756
"M",500,8,0.62,0.106830578421767,0.298670713857756
"M",500,8,0.64,0.102923237290665,0.327785770908209
"M",500,8,0.66,0.102159507702262,0.328819277866172
"M",500,8,0.68,0.101798844207034,0.329631359009892
"M",500,8,0.7,0.102159507702262,0.328819277866172
"M",500,8,0.72,0.101798844207034,0.329631359009892
"M",500,8,0.74,0.101798844207034,0.329631359009892
